tic,stock_id,date,new_stock,return,index
2327,國巨,2013-09-18,700.00000000,3.000000,24
2408,南亞科,2014-09-09,100.08394000,0.000000,40
2327,國巨,2014-10-09,302.56942478,6.974305,24
2327,國巨,2016-08-15,800.45445859,1.995455,24
2609,陽明,2017-05-04,467.28885000,0.000000,46
2327,國巨,2017-08-18,698.78452861,3.012154,24
3702,大聯大,2018-10-01,920.00000000,0.800000,62
9945,潤泰新,2018-10-08,600.00000000,4.000000,73
2317,鴻海,2018-10-26,800.00000000,2.000000,22
2201,裕隆,2020-10-19,635.76100000,0.000000,17
2603,長榮,2022-09-19,400.00000000,6.000000,45
2409,友達,2022-10-11,800.00000000,2.000000,41
3481,群創,2022-10-11,905.00000000,0.950000,59
2327,國巨,2022-10-31,795.92497057,2.040750,24
3481,群創,2023-08-28,950.00000000,0.500000,59
9945,潤泰新,2023-09-25,900.00000000,1.000000,73